"row_index","batch","cell_type","cell_observed_mixing_score"
702,"P56_batch2","CNT",0
703,"P56_batch2","LOH",0
704,"P56_batch2","PT",0.266666666666667
705,"P56_batch2","IC",0
706,"P56_batch2","immune",0.266666666666667
707,"P56_batch2","PT",0.166666666666667
708,"P56_batch2","PT2",0.0333333333333333
709,"P56_batch2","PT",0
710,"P56_batch2","PT",0.233333333333333
711,"P56_batch2","CNT",0
712,"P56_batch2","DCT",0
713,"P56_batch2","LOH",0.2
714,"P56_batch2","PC",0.0666666666666667
715,"P56_batch2","immune",0
716,"P56_batch2","LOH",0.2
717,"P56_batch2","PT",0.166666666666667
718,"P56_batch2","PT",0
719,"P56_batch2","PC",0.566666666666667
720,"P56_batch2","PT",0.9
